category,name,author,serialnumber,novelurl,name_id,serialstatus
科幻小说,口袋怪兽闯漫威, 尼库鲁,,http://www.x23us.com/book/53860,53860,
科幻小说,我不是外挂, 笔墨轮回,,http://www.x23us.com/book/54854,54854,
科幻小说,我的超时空冒险, 雨中青草,,http://www.x23us.com/book/54743,54743,
科幻小说,大反派虐杀原型, 胸部星人,,http://www.x23us.com/book/54457,54457,
科幻小说,天墓棺咒, 斩雪千山,,http://www.x23us.com/book/53559,53559,
科幻小说,我是电影里的大恶人, 落难的老鼠,,http://www.x23us.com/book/50856,50856,
科幻小说,重生之契约幻想世界, 葬峰绝,,http://www.x23us.com/book/50868,50868,
科幻小说,阴阳先生, 巫九,,http://www.x23us.com/book/54648,54648,
科幻小说,末世之残酷游戏, 一代甜椒,,http://www.x23us.com/book/55049,55049,
科幻小说,阴阳先生解密：我是鬼命, 三清道人,,http://www.x23us.com/book/53619,53619,
科幻小说,末世轮回系统, 残雪凝辉冷画屏,,http://www.x23us.com/book/51144,51144,
科幻小说,威战天下, 白菜牛肉包子,,http://www.x23us.com/book/53026,53026,
科幻小说,鬼宿舍：东11幢, 广工男,,http://www.x23us.com/book/53512,53512,
科幻小说,末日基地车, 二十六斤水银,,http://www.x23us.com/book/55114,55114,
科幻小说,无限武学系统, 垂直六十五度,,http://www.x23us.com/book/54949,54949,
科幻小说,原始星域, 七月阴,,http://www.x23us.com/book/55200,55200,
科幻小说,无限之重生成妹妹, 子爪,,http://www.x23us.com/book/54912,54912,
玄幻魔法,极品魔法师, 小魔法师,,http://www.x23us.com/book/65204,65204,
玄幻魔法,阴阳学堂, 索索明,,http://www.x23us.com/book/65205,65205,
玄幻魔法,盖世战神, 半步沧桑,,http://www.x23us.com/book/65248,65248,
玄幻魔法,异界之萌系亡灵物语, 伤寒,,http://www.x23us.com/book/63181,63181,
玄幻魔法,大地龙师, 痞子阿牛,,http://www.x23us.com/book/61405,61405,
玄幻魔法,天行九剑, 李恩纳尔,,http://www.x23us.com/book/64817,64817,
玄幻魔法,灵界帝尊, 没有翅膀,,http://www.x23us.com/book/59535,59535,
玄幻魔法,血影仙穹, 三笑佛,,http://www.x23us.com/book/62965,62965,
玄幻魔法,炼道成仙, MRDIRT,,http://www.x23us.com/book/64876,64876,
玄幻魔法,随身携带梦幻系统, 铁锅炒菠菜,,http://www.x23us.com/book/62977,62977,
玄幻魔法,高手榜, 史珍香,,http://www.x23us.com/book/64326,64326,
玄幻魔法,异界最强系统, 雷杀,,http://www.x23us.com/book/55470,55470,
玄幻魔法,洪荒之神血沸腾, 树下龙蛇,,http://www.x23us.com/book/64035,64035,
玄幻魔法,魔族古武学院, 老虎四月,,http://www.x23us.com/book/56720,56720,
玄幻魔法,逆天神泣, 梦行天,,http://www.x23us.com/book/65326,65326,
玄幻魔法,九灭重生, 最爱菜菜菜,,http://www.x23us.com/book/65330,65330,
玄幻魔法,唤神, 猪兔同眠,,http://www.x23us.com/book/53883,53883,
玄幻魔法,符文战神, 头号宅男,,http://www.x23us.com/book/65354,65354,
玄幻魔法,神牧, 肥皂头,,http://www.x23us.com/book/62322,62322,
玄幻魔法,武逆巅峰, 剑寒,,http://www.x23us.com/book/65407,65407,
玄幻魔法,玄幻商人, 刀尖上的虫脚,,http://www.x23us.com/book/64550,64550,
玄幻魔法,武动山河, 新鲜的白豆腐,,http://www.x23us.com/book/65410,65410,
玄幻魔法,破妄之眸, 鬼斗才,,http://www.x23us.com/book/50642,50642,
玄幻魔法,最强宫主, 王绍,,http://www.x23us.com/book/64757,64757,
玄幻魔法,破天, 青铜,,http://www.x23us.com/book/65111,65111,
玄幻魔法,偃师无道, 甜甜的酸角,,http://www.x23us.com/book/51181,51181,
玄幻魔法,太古剑神, 飘零幻,,http://www.x23us.com/book/56065,56065,
玄幻魔法,武极魔王, 无巫乌,,http://www.x23us.com/book/58476,58476,
玄幻魔法,艺界主宰, 神瞄,,http://www.x23us.com/book/62747,62747,
玄幻魔法,傲世武者, 柳思殇,,http://www.x23us.com/book/62542,62542,
玄幻魔法,不灭金身诀, 苦涩的甜咖啡,,http://www.x23us.com/book/5969,5969,
玄幻魔法,炼器, 长歌扬,,http://www.x23us.com/book/56052,56052,
玄幻魔法,磐石风云, 安娜的爸比,,http://www.x23us.com/book/62841,62841,
玄幻魔法,九武神帝, 浪里花,,http://www.x23us.com/book/62921,62921,
玄幻魔法,岩武天尊, 下雨石,,http://www.x23us.com/book/54595,54595,
玄幻魔法,剑道仙尊, 文玄,,http://www.x23us.com/book/51764,51764,
玄幻魔法,狼行之始, 热心的蚂蚁,,http://www.x23us.com/book/63145,63145,
玄幻魔法,鸿蒙桃源, 爆菊神鱼,,http://www.x23us.com/book/60606,60606,
玄幻魔法,重启之命运, 牛頭三號,,http://www.x23us.com/book/30425,30425,
玄幻魔法,诸天万界养殖系统, 刀尖上的虫脚,,http://www.x23us.com/book/62795,62795,
玄幻魔法,异界之裁决剑神, 落泪天堂,,http://www.x23us.com/book/63257,63257,
玄幻魔法,骨墨神道, 禅茶一味,,http://www.x23us.com/book/60837,60837,
玄幻魔法,月夜斩灵传, 夏夜蛙鸣,,http://www.x23us.com/book/62948,62948,
玄幻魔法,香火佛修, 猪大少爷,,http://www.x23us.com/book/62956,62956,
玄幻魔法,赤焰天尊, 枫叶一曲歌,,http://www.x23us.com/book/56954,56954,
玄幻魔法,法师手札, 沁纸花青,,http://www.x23us.com/book/844,0844,
玄幻魔法,变形虫战记, 爱飘,,http://www.x23us.com/book/63458,63458,
玄幻魔法,武极九天, 浅枫君少,,http://www.x23us.com/book/58309,58309,
玄幻魔法,斗战天王, 开心侯爷府,,http://www.x23us.com/book/58308,58308,
玄幻魔法,诗剑无双, 蒋均,,http://www.x23us.com/book/62473,62473,
玄幻魔法,符道巅峰, 暗夜冰雷,,http://www.x23us.com/book/60421,60421,
玄幻魔法,轮回道尊, 雪影小虎,,http://www.x23us.com/book/57292,57292,
玄幻魔法,秦墓仙踪, 子墨竹,,http://www.x23us.com/book/61583,61583,
玄幻魔法,故国三千里, 疏眉,,http://www.x23us.com/book/63263,63263,
玄幻魔法,九神天, 九龙堂,,http://www.x23us.com/book/62192,62192,
玄幻魔法,为师的爆炸美学, 鲁姆之蛇,,http://www.x23us.com/book/63117,63117,
玄幻魔法,吸血相公去死吧, 孽小小,,http://www.x23us.com/book/63037,63037,
玄幻魔法,不落万年, 独孤如愿,,http://www.x23us.com/book/62843,62843,
玄幻魔法,苍苍星辰, 牧原很远,,http://www.x23us.com/book/62862,62862,
玄幻魔法,阿鼻地狱, 心决唯我,,http://www.x23us.com/book/61378,61378,
玄幻魔法,武逆碎界, 想笨,,http://www.x23us.com/book/62772,62772,
玄幻魔法,炼器狂潮, 单纯宅男,,http://www.x23us.com/book/54086,54086,
玄幻魔法,钢铁侠异界无敌, 一江秋月,,http://www.x23us.com/book/56796,56796,
玄幻魔法,仙裔魔途, 小僧说梦,,http://www.x23us.com/book/54765,54765,
玄幻魔法,起源霸主, 青春期大叔,,http://www.x23us.com/book/62882,62882,
玄幻魔法,神武双修, 40K,,http://www.x23us.com/book/61478,61478,
玄幻魔法,巨龙养成计划, 风骚的波浪线,,http://www.x23us.com/book/62693,62693,
玄幻魔法,蛮荒风暴, 高坡,,http://www.x23us.com/book/60301,60301,
玄幻魔法,药神, 静夜寄思,,http://www.x23us.com/book/50487,50487,
玄幻魔法,不屈狂魂, 红萝卜酸菜,,http://www.x23us.com/book/62840,62840,
玄幻魔法,神通力士, 世界晴,,http://www.x23us.com/book/62877,62877,
玄幻魔法,剑斗玄天, 临汾炒饼丝,,http://www.x23us.com/book/62778,62778,
玄幻魔法,重生之超值修真, 小心真凶,,http://www.x23us.com/book/63087,63087,
玄幻魔法,阿蒙, 鹿晴歌,,http://www.x23us.com/book/50767,50767,
玄幻魔法,异世灵图, 枕穆昔年,,http://www.x23us.com/book/62586,62586,
玄幻魔法,无限之凡人的智慧, 春秋散人,,http://www.x23us.com/book/11555,11555,
玄幻魔法,弑月琉璃, 紫藤茉,,http://www.x23us.com/book/58550,58550,
玄幻魔法,不死玄圣, 一路向北又向南,,http://www.x23us.com/book/59897,59897,
玄幻魔法,冰火神匠, 古东道,,http://www.x23us.com/book/61985,61985,
玄幻魔法,斗皇纪, 未语浅笑,,http://www.x23us.com/book/60638,60638,
玄幻魔法,穿越异界的游戏系统, 灯下抹灰,,http://www.x23us.com/book/61400,61400,
玄幻魔法,惊天令, 文中月,,http://www.x23us.com/book/57432,57432,
玄幻魔法,只有某人知道的世界, 本性懒惰的人,,http://www.x23us.com/book/30568,30568,
玄幻魔法,武极巅峰, 雨辰宇,,http://www.x23us.com/book/1331,1331,
玄幻魔法,竞幻境情, 荣韵东风,,http://www.x23us.com/book/62587,62587,
玄幻魔法,不死战皇, 月下放歌,,http://www.x23us.com/book/57151,57151,
玄幻魔法,吾乃癞蛤蟆是也, 一只小油桃,,http://www.x23us.com/book/62691,62691,
玄幻魔法,天道轨痕, 文刀章,,http://www.x23us.com/book/55684,55684,
玄幻魔法,星耀九天, 地狱不空,,http://www.x23us.com/book/57187,57187,
玄幻魔法,庚古, 不吃龙虾,,http://www.x23us.com/book/63107,63107,
玄幻魔法,不死剑神, 龙腾万里,,http://www.x23us.com/book/54606,54606,
玄幻魔法,剑傲玄天, 哆啦不懂A梦,,http://www.x23us.com/book/63356,63356,
玄幻魔法,无限斩杀, 娇蛮斩杀,,http://www.x23us.com/book/13003,13003,
玄幻魔法,极限强者, 天真的修罗,,http://www.x23us.com/book/57162,57162,
玄幻魔法,武帝悠闲生活录, 明日飞,,http://www.x23us.com/book/56433,56433,
玄幻魔法,九幽武帝, 秋叶落梓,,http://www.x23us.com/book/62676,62676,
玄幻魔法,不死战神(潇潇凉公子), 潇潇凉公子,,http://www.x23us.com/book/49882,49882,
玄幻魔法,符公子, 无齿之徒,,http://www.x23us.com/book/63192,63192,
玄幻魔法,我修神, 寻鑫,,http://www.x23us.com/book/59982,59982,
玄幻魔法,诸天七道, 宅又不是病,,http://www.x23us.com/book/62849,62849,
玄幻魔法,血路神途, 倚剑为圣,,http://www.x23us.com/book/63005,63005,
玄幻魔法,养道, 九孔,,http://www.x23us.com/book/56953,56953,
玄幻魔法,武道至圣, 轮回石上,,http://www.x23us.com/book/53976,53976,
玄幻魔法,圣脉, 狗狍子,,http://www.x23us.com/book/56898,56898,
玄幻魔法,牧月, 胖子阿七,,http://www.x23us.com/book/63624,63624,
玄幻魔法,阳荒之寒, 标氏集团,,http://www.x23us.com/book/63520,63520,
玄幻魔法,天河大帝, 寂寞读南华,,http://www.x23us.com/book/62852,62852,
玄幻魔法,至尊战仙, 蘑菇大大王,,http://www.x23us.com/book/55003,55003,
玄幻魔法,剑冲霄, 凡人牧海,,http://www.x23us.com/book/62979,62979,
玄幻魔法,荒野时代, 烟竹海棠,,http://www.x23us.com/book/60570,60570,
玄幻魔法,紫金传, 大狗虫,,http://www.x23us.com/book/63485,63485,
玄幻魔法,花开春暖, 未知,,http://www.x23us.com/book/11500,11500,
玄幻魔法,神罗之巅, 登临意,,http://www.x23us.com/book/62413,62413,
玄幻魔法,永镇乾坤, 灰衣道长,,http://www.x23us.com/book/57119,57119,
玄幻魔法,石猴陆长生, 熊虎,,http://www.x23us.com/book/63256,63256,
